# Word list for a specific language.
# In this file, line starts with # (comments) and empty lines are ignored
# Word list is organize like this :	
# $GRAMMAR$ : describe how extract word and frequency from following list. 
# The grammar affect following lines, this way its possible to have several grammar in the file. 
# When a new grammar is found, it replace the actual grammar for the rest of list, until meet an other $GRAMMAR$ (or reach end of document)

# Default $GRAMMAR$ definition : 
$GRAMMAR$	<frequency>[SPACE]<word>
# Where :
# 		<frequency> is the place for the integer for frequency
# 		[SPACE] one or more "space characters" (Space, tabulation)
# 		<word> is the place for the "word"

# *****************************************
# ***   French word initial word list   ***
# *****************************************

$GRAMMAR$	<word>|<frequency>
chopine|1
chopper|1
choquant|1
choquer|1
chorale|1
choriste|1
chorus|1
chorégraphie|1
chose|1
chosification|1
chosifier|1
chott|1
chou|1
chou marin|1
chou-rave|1
chouan|1
choucas|1
chouchou|1
chouchouter|1
chouette|1
chouette blanche|1
chouleur|1
choyer|1
chrestomathie|1
chris-craft|1
christianisation|1
christianiser|1
chromatisme|1
chromatopsie|1
chromotypographie|1
chronique|1
chroniques|1
chroniqueur|1
chroniqueuse|1
chronobiologie|1
chronologie|1
chronologiquement|1
chrysalide|1
chrysolithe|1
chrétien|1
chthonien|1
chthoniens|1
chuchotant|1
chuchotement|1
chuchoter|1
chuchoteur|1
chuchoteuse|1
chuchotis|1
chue|1
chuintement|1
chuinter|1
chut|1
chute|1
chuter|1
chypriote|1
châle|1
châsse|1
châssis|1
châtaigne|1
châtaigneraie|1
châtain|1
château|1
châtelain|1
châtier|1
châtiment|1
châtié|1
châtrer|1
chèche|1
chènevière|1
chère|1
chèrement|1
chèvre|1
chèvre-pied|1
chébran|1
chéchia|1
chélidoine|1
chéneau|1
chénopode|1
chéquier|1
chéri|1
chérifien|1
chérir|1
chérot|1
chérubin|1
chérubins|1
chétif|1
chênaie|1
chêne|1
chêne vert|1
chômage|1
chômant|1
chômer|1
chômeur|1
chômé|1
choeur|1
ci|1
ci-annexé|1
ci-après|1
ci-contre|1
ci-dessous|1
ci-dessus|1
ci-devant|1
ci-inclus|1
ci-joint|1
cibiste|1
ciblage|1
cible|1
cibler|1
ciboule|1
ciboulette|1
cicatrice|1
cicatrisant|1
cicatrisation|1
cicatriser|1
cicutine|1
cicérone|1
ciel|1
cierge|1
cierge de notre dame|1
cigale de mer|1
cigare|1
cigarette|1
cigarillo|1
ciguë|1
cil|1
cilice|1
cillement|1
ciller|1
cime|1
ciment|1
cimenter|1
cimeterre|1
cimetière|1
cinglant|1
cingler|1
cinglé|1
cinoque|1
cinquantenaire|1
cinquièmement|1
cintrage|1
cintre|1
cintrer|1
cintré|1
ciné|1
ciné-club|1
cinéaste|1
cinéma|1
cinémascope|1
cinémathèque|1
cinématique|1
cinématographe|1
cinématographier|1
cinématographique|1
cinéraire|1
cinérama|1
cinétique|1
cippe|1
cirage|1
cirant|1
circaète|1
circonflexe|1
circonférence|1
circonlocution|1
circonscription|1
circonscrire|1
circonscrit|1
circonspect|1
circonspection|1
circonstance|1
circonstanciel|1
circonstancielle|1
circonstancié|1
circonvenir|1
circonvoisin|1
circonvolution|1
circuit|1
circulaire|1
circulairement|1
circulant|1
circulation|1
circule|1
circuler|1
circulé|1
circumnavigation|1
cire|1
cirer|1
cireur|1
cireuse|1
cireux|1
cirque|1
cirrus|1
ciré|1
cisaille|1
cisailler|1
ciseau|1
ciseaux|1
ciseler|1
ciseleur|1
ciseleuse|1
ciselure|1
ciselé|1
cistre|1
cistude|1
citadelle|1
citadin|1
citadine|1
citation|1
citer|1
citerne|1
cithare|1
citoyen|1
citoyenneté|1
citron|1
citron vert|1
citronnade|1
citronnelle|1
citronnier|1
citrouille|1
citrus|1
cité|1
cive|1
civelle|1
civette|1
civil|1
civile|1
civilement|1
civilisation|1
civiliser|1
civilisé|1
civilité|1
civilités|1
civique|1
civisme|1
civière|1
clabauder|1
claie|1
clair|1
claire|1
claire-voie|1
clairement|1
clairet|1
clairette|1
clairière|1
clairon|1
claironner|1
clairsemé|1
clairvoyance|1
clairvoyant|1
clam|1
clamer|1
clameur|1
clan|1
clandestin|1
clandestine|1
clandestinement|1
clanique|1
claniques|1
clapet|1
clapier|1
clapir|1
claquage|1
claque|1
claquement|1
claquemurer|1
claquer|1
claqueter|1
clarification|1
clarifier|1
clarine|1
clarté|1
clash|1
classe|1
classement|1
classer|1
classeur|1
classicisme|1
classificateur|1
classification|1
classifier|1
classifiée|1
classique|1
classiquement|1
classée|1
claudicant|1
claudication|1
claudiquer|1
clause|1
claustra|1
claustral|1
claustration|1
claustrer|1
claustré|1
clausule|1
claveau|1
clavecin|1
clavelée|1
clavetage|1
claveter|1
clavette|1
clavicorde|1
clavier|1
claviste|1
claymore|1
clayon|1
clayère|1
clearing|1
clebs|1
clef|1
clenche|1
clephte|1
clepsydre|1
clerc|1
clergé|1
clichage|1
clicher|1
cliché|1
client|1
clientèle|1
clientélisme|1
clignement|1
cligner|1
clignotant|1
clignotement|1
clignoter|1
climat|1
climatique|1
climatisation|1
climatisé|1
climatérique|1
clin|1
clinfoc|1
clinicien|1
clinique|1
cliniquement|1
cliniques|1
clinomètre|1
clinorhombique|1
clinquant|1
clip|1
clipper|1
clique|1
cliquer|1
cliqueter|1
cliquetis|1
clisse|1
clitoridectomie|1
clivage|1
cliver|1
cloaque|1
clochard|1
clocharde|1
cloche|1
clocher|1
clocheton|1
clochette|1
cloison|1
cloisonnage|1
cloisonnement|1
cloisonner|1
cloisonné|1
clonage|1
clone|1
cloner|1
clope|1
clopin-clopant|1
clopiner|1
cloquage|1
cloque|1
cloquer|1
cloqué|1
clore|1
clos|1
closeau|1
closerie|1
closier|1
clou|1
clouage|1
clouer|1
cloutage|1
cloué|1
clovisse|1
clown|1
clownerie|1
clownesque|1
cloyère|1
cloître|1
cloîtrer|1
club|1
cluse|1
clystère|1
clé|1
clébard|1
clématite|1
clémence|1
clément|1
clémentine|1
clérical|1
cléricature|1
clés|1
clôture|1
clôturer|1
clôturé|1
cnidaire|1
cnémide|1
coach|1
coaction|1
coadjuteur|1
coagulation|1
coaguler|1
coagulum|1
coalescence|1
coalescent|1
coaliser|1
coalisé|1
coalition|1
coaltar|1
coasser|1
coassocié|1
coauteur|1
coaxial|1
cob|1
cobaye|1
cobe|1
cobra|1
cocagne|1
cocarde|1
cocardier|1
cocasse|1
cocasserie|1
cocaïnomane|1
coccinelle|1
coccygien|1
coccyx|1
coche|1
cocher|1
cochet|1
cochevis|1
cochon|1
cochon sauvage|1
cochonnaille|1
cochonne|1
cochonner|1
cochonnerie|1
cochonnet|1
cochons|1
cochylis|1
coché|1
cockpit|1
cocktail|1
cocon|1
cocoter|1
cocotier|1
cocotte|1
cocotte-minute|1
cocotter|1
coction|1
codage|1
code|1
coder|1
codeur|1
codex|1
codicillaire|1
codicille|1
codificateur|1
codification|1
codifier|1
codé|1
coefficient|1
coentreprise|1
coercible|1
coercitif|1
coercition|1
coexistence|1
coexister|1
coffrage|1
coffre|1
coffrer|1
coffret|1
cogitation|1
cogiter|1
cognac|1
cognant|1
cognation|1
cognement|1
cogner|1
cogniticien|1
cogniticienne|1
cognition|1
cognée|1
cohabitation|1
cohabiter|1
cohorte|1
cohue|1
cohérence|1
cohérent|1
cohésif|1
cohésion|1
cohésive|1
coi|1
coiffage|1
coiffe|1
coiffer|1
coiffeur|1
coiffeuse|1
coiffure|1
coiffé|1
coin|1
coin cuisine|1
coincer|1
coincé|1
cointéressé|1
coinçage|1
coite|1
col|1
colarin|1
colchique|1
colibri|1
colibris|1
colifichet|1
colimaçon|1
colin|1
colin-tampon|1
colinot|1
colique|1
coliques|1
colis|1
colite|1
collaborateur|1
collaboration|1
collaborer|1
collage|1
collagène|1
collant|1
collante|1
collants|1
collapsus|1
collation|1
collationnement|1
collationner|1
collations|1
collatéral|1
collatéraux|1
colle|1
collectage|1
collecte|1
collecter|1
collecteur|1
collectif|1
collectifs|1
collection|1
collectionner|1
collectionneur|1
collective|1
collectivement|1
collectivisation|1
collectiviser|1
collectivisme|1
collectivité|1
coller|1
collerette|1
collet|1
colleter|1
colleteur|1
collier|1
colliger|1
collimateur|1
collimation|1
colline|1
collision|1
colloque|1
colloïdal|1
colloïdale|1
colloïde|1
collure|1
collusion|1
collutoire|1
colluvion|1
collège|1
collègue|1
collé|1
collégial|1
collégien|1
collégienne|1
colmatage|1
colmater|1
colombe|1
colombier|1
colombin|1
colon|1
colonage|1
colonat|1
colonial|1
colonialisme|1
colonialiste|1
colonie|1
colonisateur|1
colonisation|1
colonnade|1
colonne|1
colonne vertébrale|1
colonnette|1
colophane|1
coloquinte|1
colorant|1
colorants|1
coloration|1
colorer|1
coloriage|1
coloriant|1
colorier|1
coloris|1
coloriser|1
coloriste|1
colorié|1
coloré|1
colorée|1
colossal|1
colossale|1
colossalement|1
colossaux|1
colosse|1
colportage|1
colporter|1
colporteur|1
colt|1
columbarium|1
colvert|1
colère|1
coléreuse|1
coléreux|1
colérique|1
coma|1
comateux|1
combat|1
combatif|1
combative|1
combativité|1
combattant|1
combattant musulman|1
combattants musulmans|1
combattre|1
combe|1
combien|1
combientième|1
combinable|1
combinaison|1
combinard|1
combinat|1
combine|1
combiner|1
combiné|1
combinée|1
comble|1
comblement|1
combler|1
combles|1
comblé|1
comburant|1
combustibilité|1
combustible|1
combustion|1
comestible|1
comique|1
comiquement|1
comité|1
comma|1
commandant|1
commande|1
commandement|1
commandements|1
commander|1
commanditaire|1
commandite|1
commanditer|1
commando|1
commandé|1
comme|1
comme ci comme ça|1
commencement|1
commencements|1
commencer|1
commencé|1
commensal|1
commensurable|1
comment|1
commentaire|1
commentaires|1
commentateur|1
commenter|1
commençant|1
commerce|1
commercer|1
commerces|1
commercial|1
commercialisable|1
commercialisation|1
commercialise|1
commercialiser|1
commercialisée|1
commerçant|1
commerçante|1
commettre|1
comminatoire|1
commis|1
commissaire|1
commissaire-priseur|1
commissariat|1
commission|1
commissionnaire|1
commissionner|1
commissions|1
commissure|1
commisération|1
commode|1
commodité|1
commodités|1
commodément|1
commotion|1
commotionner|1
commuabilité|1
commuable|1
commuer|1
commun|1
communal|1
communard|1
communautaire|1
communauté|1
communaux|1
commune|1
communicabilité|1
communicable|1
communicant|1
communicateur|1
communicatif|1
communication|1
communicative|1
communier|1
communion|1
communiquer|1
communiqué|1
communiquée|1
communisme|1
communs|1
communément|1
commutable|1
commutateur|1
commutation|1
commutativité|1
commuter|1
commère|1
commémoraison|1
commémoratif|1
commémoration|1
commémorer|1
commérage|1
compacité|1
compact|1
compactage|1
compacter|1
compacté|1
compagne|1
compagnie|1
compagnon|1
compagnon du Devoir|1
comparable|1
comparables|1
comparaison|1
comparativement|1
comparaître|1
comparer|1
comparoir|1
comparse|1
compartiment|1
compartimentage|1
compartimenter|1
compartimenté|1
comparution|1
compas|1
compassion|1
compassé|1
compatibilité|1
compatible|1
compatir|1
compatissant|1
compatriote|1
compendieusement|1
compendieux|1
compendium|1
compensable|1
compensateur|1
compensation|1
compensatoire|1
compensatrice|1
compenser|1
compensé|1
compilateur|1
compilation|1
complainte|1
complaire|1
complaisamment|1
complaisance|1
complaisant|1
complaisante|1
complant|1
complanter|1
complet|1
complets|1
complexe|1
complexer|1
complexifier|1
complexion|1
complexité|1
complication|1
complice|1
complicité|1
compliment|1
complimenter|1
complimenteur|1
complimenteuse|1
compliments|1
compliquer|1
compliqué|1
complot|1
comploter|1
comploteur|1
complète|1
complètement|1
complément|1
complémentaire|1
complémentairement|1
compléter|1
complétion|1
componction|1
comporte|1
comportement|1
comportemental|1
comportementale|1
comportementalisme|1
comportementaliste|1
comporter|1
composacée|1
composant|1
composer|1
composeur|1
composite|1
compositeur|1
composition|1
compost|1
composter|1
composteur|1
composé|1
composée|1
compote|1
comprenant|1
comprendre|1
compresse|1
compresser|1
compresseur|1
compressibilité|1
compressible|1
compression|1
comprimable|1
comprimer|1
comprimé|1
compris|1
compromettant|1
compromettre|1
compromis|1
compromission|1
compréhensibilité|1
compréhensible|1
compréhensif|1
compréhensifs|1
compréhension|1
comptabilisable|1
comptabiliser|1
comptabilité|1
comptable|1
comptage|1
comptant|1
compte|1
compte-gouttes|1
compte-pas|1
compte-rendu|1
compte-tours|1
compter|1
comptes|1
compteur|1
comptine|1
comptoir|1
compté|1
compulser|1
compulsif|1
compulsionnel|1
compulsionnelle|1
compulsive|1
compulsé|1
computer|1
compère|1
compère-loriot|1
compénétration|1
compénétrer|1
compérage|1
compétence|1
compétent|1
compétiteur|1
compétitif|1
compétition|1
compétitrice|1
comtat|1
comtois|1
comtoise|1
comté|1
comète|1
comédie|1
comédien|1
comédon|1
concassage|1
concasser|1
concasseur|1
concassé|1
concaténation|1
concaténer|1
concave|1
concavité|1
concentration|1
concentrer|1
concentrique|1
concentré|1
concept|1
concepteur|1
conception|1
conceptualisation|1
conceptualiser|1
conceptualisme|1
conceptualiste|1
conceptuel|1
conceptuelle|1
concernant|1
concerner|1
concert|1
concertation|1
concerter|1
concertino|1
concertiste|1
concerto|1
concerté|1
concessible|1
concessif|1
concession|1
concessionnaire|1
concetti|1
concevable|1
concevant|1
concevoir|1
conchyliculteur|1
conchyliculture|1
conchylien|1
conchylis|1
concierge|1
conciergerie|1
concile|1
conciliable|1
conciliabule|1
conciliant|1
conciliateur|1
conciliation|1
concilier|1
concis|1
concision|1
concitoyen|1
conclave|1
conclu|1
concluant|1
conclure|1
conclusion|1
concocter|1
concombre|1
concombre de mer|1
concomitance|1
concomitant|1
concordance|1
concordant|1
concordat|1
concordataire|1
concorde|1
concorder|1
concourant|1
concourir|1
concours|1
concret|1
concrètement|1
concréter|1
concrétion|1
concrétisation|1
concrétiser|1
concubin|1
concubinage|1
concupiscence|1
concupiscent|1
concurremment|1
concurrence|1
concurrencer|1
concurrent|1
concurrente|1
concurrentiel|1
concussion|1
concussionnaire|1
concéder|1
concédé|1
concélébration|1
concélébrer|1
condamnable|1
condamnation|1
condamner|1
condamné|1
condensable|1
condensateur|1
condensation|1
condenser|1
condenseur|1
condensé|1
condescendance|1
condescendant|1
condescendante|1
condescendre|1
condiment|1
condiments|1
condisciple|1
condition|1
conditionnel|1
conditionnement|1
conditionner|1
conditionneur|1
conditionneuse|1
conditionné|1
conditions|1
condoléances|1
condom|1
condominium|1
condor|1
condottiere|1
conducteur|1
conductible|1
conduction|1
conductrice|1
conduire|1
conduit|1
conduite|1
confabulation|1
confabuler|1
confection|1
confectionner|1
confectionneur|1
confectionneuse|1
confer|1
confesse|1
confesser|1
confesseur|1
confession|1
confessionnal|1
confessionnel|1
confiance|1
confiant|1
confiante|1
confidemment|1
confidence|1
confident|1
confidentialité|1
confidentiel|1
confidentielle|1
confidentiellement|1
confier|1
configuration|1
configurer|1
confinement|1
confiner|1
confiner à|1
confins|1
confirmation|1
confirmer|1
confirmé|1
confirmée|1
confiscation|1
confiserie|1
confisquer|1
confit|1
confiture|1
conflagration|1
conflictuel|1
conflit|1
confluence|1
confluent|1
confluer|1
confondant|1
confondre|1
confondu|1
conformation|1
conforme|1
conformer|1
conformes|1
conformisme|1
conformiste|1
conformité|1
conformément|1
confort|1
confortable|1
confortablement|1
conforter|1
confraternel|1
confrontation|1
confronter|1
confruence|1
confrère|1
confrérie|1
confus|1
confuse|1
confusion|1
confusément|1
confédéral|1
confédération|1
confédérer|1
confédéré|1
conférence|1
conférencier|1
conférencière|1
conférer|1
conféré|1
congeler|1
congestion|1
congestionner|1
congestionné|1
conglomérant|1
conglomérat|1
conglomération|1
conglomérer|1
conglutiner|1
congratulations|1
congratuler|1
congre|1
congru|1
congruence|1
congruent|1
congrès|1
congréganiste|1
congrégation|1
congrûment|1
congé|1
congédiable|1
congédiement|1
congédier|1
congédié|1
congélateur|1
congélation|1
congénital|1
congénitalement|1
congénère|1
congés|1
conicine|1
conifère|1
conjectural|1
conjecturalement|1
conjecture|1
conjecturer|1
conjecturé|1
conjoindre|1
conjoint|1
conjointement|1
conjonctif|1
conjonction|1
conjonctive|1
conjoncture|1
conjoncturel|1
conjoncturelle|1
conjugaison|1
conjugal|1
conjugalement|1
conjugaux|1
conjuguer|1
conjungo|1
conjurateur|1
conjuration|1
conjurer|1
conjuré|1
conjurée|1
connaissable|1
connaissance|1
connaisseur|1
connaître|1
connecter|1
connecteur|1
connectif|1
connective|1
connexe|1
connexion|1
connexité|1
connivence|1
connotation|1
connoter|1
connu|1
conque|1
conquis|1
conquistador|1
conquérant|1
conquérir|1
conquête|1
consacrer|1
consacré|1
consacrée|1
consanguin|1
consanguinité|1
consciemment|1
conscience|1
consciencieusement|1
consciencieux|1
conscient|1
consciente|1
conscription|1
conscrit|1
conseil|1
conseiller|1
conseiller municipal|1
conseilleur|1
conseillère|1
consensus|1
consentant|1
consentement|1
consenti|1
consentir|1
conservateur|1
conservation|1
conservatisme|1
conservatoire|1
conservatrice|1
conserve|1
conserver|1
conservé|1
considérable|1
considérablement|1
considérables|1
considérant|1
considération|1
considérer|1
considéré|1
consignataire|1
consignation|1
consigne|1
consigner|1
consignée|1
consistance|1
consistant|1
consistante|1
consister|1
consistoire|1
consolant|1
consolateur|1
consolation|1
consolatrice|1
consoler|1
consolidation|1
consolider|1
consommable|1
consommant|1
consommateur|1
consommation|1
consommer|1
consommé|1
consommée|1
consomptible|1
consomption|1
consonance|1
consonant|1
consort|1
consortium|1
conspirateur|1
conspiration|1
conspirer|1
conspuant|1
conspuer|1
constable|1
constamment|1
constance|1
constant|1
constante|1
constants|1
constat|1
constatable|1
constatation|1
constater|1
constats|1
constaté|1
constellation|1
consteller|1
constellé|1
consternant|1
consternation|1
consterner|1
consterné|1
constipation|1
constiper|1
constipé|1
constituant|1
constituer|1
constitutif|1
constitution|1
constitutionaliser|1
constitutionnel|1
constitutionnellement|1
constitutionnels|1
constriction|1
constructeur|1
constructible|1
constructif|1
construction|1
constructive|1
constructrice|1
construire|1
construisant|1
construit|1
construite|1
consubstantiation|1
consubstantiel|1
consul|1
consulat|1
consultable|1
consultance|1
consultant|1
consultation|1
consulter|1
consulté|1
consumant|1
consumer|1
consumé|1
consécration|1
consécutif|1
consécution|1
consécutivement|1
conséquemment|1
conséquence|1
conséquent|1
consoeur|1
contact|1
contacter|1
contacteur|1
contagieux|1
contagion|1
container|1
contaminant|1
contamination|1
contaminer|1
contaminé|1
conte|1
contemplateur|1
contemplatif|1
contemplation|1
contempler|1
contemporain|1
contemporanéité|1
contempteur|1
contemptrice|1
contenance|1
contenant|1
conteneur|1
contenir|1
content|1
contentant|1
contentement|1
contenter|1
contentieux|1
contentif|1
contention|1
contenu|1
contenue|1
conter|1
contestable|1
contestant|1
contestataire|1
contestation|1
contester|1
contesté|1
conteur|1
contexte|1
contexture|1
contienne|1
contigu|1
contiguë|1
contiguïté|1
continence|1
continent|1
contingence|1
contingent|1
contingente|1
contingentement|1
contingenter|1
continu|1
continuateur|1
continuation|1
continuel|1
continuelle|1
continuellement|1
continuer|1
continuité|1
continuo|1
continuum|1
continûment|1
contondant|1
contorsion|1
contorsionner|1
contorsionniste|1
contorsionné|1
contour|1
contournement|1
contourner|1
contourné|1
contraceptif|1
contracter|1
contraction|1
contraction de pupille|1
contractuel|1
contracture|1
contracté|1
contradicteur|1
contradiction|1
contradictoire|1
contradictoirement|1
contradictoires|1
contragestif|1
contraignant|1
contraindre|1
contraint|1
contrainte|1
contraire|1
contrairement|1
contraires|1
contrariant|1
contrariante|1
contrarier|1
contrarié|1
contrariété|1
contraste|1
contraster|1
contrasté|1
contrat|1
contravention|1
contraventions|1
contre|1
contre-allée|1
contre-amiral|1
contre-attaque|1
contre-attaquer|1
contre-balancement|1
contre-essai|1
contre-filet|1
contre-indiquer|1
contre-indiqué|1
contre-offensive|1
contre-ordre|1
contre-pied|1
contre-poil|1
contre-réaction|1
contre-révolution|1
contre-tirer|1
contre-ténor|1
contre-écrou|1
contre-épreuve|1
contrebalancer|1
contrebalancé|1
contrebande|1
contrebandier|1
contrecarrer|1
contrecoup|1
contrecoeur|1
contredanse|1
contredire|1
contredit|1
contrefacteur|1
contrefactrice|1
contrefaire|1
contrefait|1
contrefaçon|1
contrefort|1
contremaître|1
contrepartie|1
contrepet|1
contrepoids|1
contrepoint|1
contrepoison|1
contrepèterie|1
contrer|1
contreseing|1
contresens|1
contresigner|1
contretemps|1
contretype|1
contrevenant|1
contrevenir|1
contrevent|1
contrevérité|1
contribuable|1
contribuer|1
contribution|1
contrister|1
contrit|1
contrition|1
contrordre|1
controuver|1
controuvé|1
controversable|1
controverse|1
controverser|1
controversé|1
contrée|1
contrôlable|1
contrôle|1
contrôler|1
contrôleur|1
contrôleuse|1
contrôlé|1
contumace|1
contumax|1
contusion|1
contusionner|1
contusionné|1
conurbation|1
convaincant|1
convaincre|1
convaincu|1
convainquant|1
convalescence|1
convalescent|1
convecteur|1
convenable|1
convenablement|1
convenance|1
convenant|1
convenir|1
convent|1
convention|1
conventionnel|1
conventionnellement|1
conventuel|1
convenu|1
convenue|1
convergence|1
convergent|1
converger|1
conversation|1
conversationnel|1
conversationnelle|1
converser|1
conversion|1
converti|1
convertible|1
convertir|1
convertissable|1
convertisseur|1
convexe|1
convexité|1
conviction|1
conviendra|1
conviendrai|1
conviendraient|1
conviendrais|1
conviendrait|1
conviendrez|1
conviendriez|1
conviendrions|1
conviendrons|1
conviendront|1
convienne|1
conviennent|1
conviennes|1
convier|1
convive|1
convivial|1
convocation|1
convoi|1
convoite|1
convoiter|1
convoitise|1
convoler|1
convolvulus|1
convoquer|1
convoqué|1
convoyer|1
convoyeur|1
convulser|1
convulsif|1
convulsion|1
convulsivement|1
conçu|1
cool|1
cooler|1
coolie|1
cooptation|1
coopter|1
coopérateur|1
coopération|1
coopératisme|1
coopérative|1
coopérer|1
coordinateur|1
coordination|1
coordonnateur|1
coordonner|1
coordonné|1
coordonnée|1
copain|1
coparticipant|1
copayer|1
copaïer|1
copeau|1
copiable|1
copiage|1
copie|1
copier|1
copieur|1
copieuse|1
copieusement|1
copieux|1
copiste|1
copié|1
coprolithe|1
coprophage|1
copropriété|1
copulation|1
copuler|1
copyright|1
copywriter|1
coq|1
coq de roche|1
coq indien|1
coque|1
coquecigrue|1
coquelet|1
coquelicot|1
coquelourde|1
coquemar|1
coquerie|1
coquet|1
coqueter|1
coquettement|1
coquetterie|1
coquillage|1
coquillages|1
coquillard|1
coquille|1
coquillier|1
coquin|1
coquinerie|1
cor|1
corail|1
coran|1
coranique|1
corbeau|1
corbeille|1
corbillat|1
corbin|1
cordage|1
corde|1
cordeau|1
cordeler|1
cordelette|1
cordelier|1
cordelière|1
corder|1
corderie|1
cordial|1
cordiale|1
cordialement|1
cordialité|1
cordon|1
cordon bleu|1
cordonner|1
cordonnet|1
cordonnier|1
cordée|1
coriace|1
cormier|1
cornac|1
cornage|1
cornaquer|1
corne|1
corneille|1
cornement|1
cornemuse|1
cornemuseux|1
corner|1
cornet|1
cornette|1
cornichon|1
cornu|1
corollaire|1
corolle|1
coronarite|1
coronelle|1
corossol|1
corporation|1
corporel|1
corporellement|1
corps|1
corpulence|1
corpulent|1
corpulente|1
corpus|1
corpuscule|1
corral|1
correct|1
correctement|1
correcteur|1
correctif|1
correction|1
correctrice|1
corrects|1
correspondance|1
correspondancier|1
correspondant|1
correspondant local|1
correspondante|1
correspondre|1
corrida|1
corridor|1
corrigeable|1
corriger|1
corrigeur|1
corrigible|1
corrigé|1
corroboration|1
corroborer|1
corrodant|1
corroder|1
corrompant|1
corrompre|1
corrompu|1
corrompus|1
corrosif|1
corrosion|1
corrosive|1
corroyage|1
corroyer|1
corrupteur|1
corruptible|1
corruption|1
corruptrice|1
corrélatif|1
corrélation|1
corréler|1
corrélé|1
corsage|1
corsaire|1
corse|1
corselet|1
corser|1
corset|1
corseter|1
corso|1
corsé|1
cortex|1
corticale|1
cortège|1
cortès|1
coruscant|1
corvidé|1
corvéable|1
corvée|1
corvées|1
coryphée|1
coryza|1
corégone|1
cosignataire|1
cosmique|1
cosmiques|1
cosmogonie|1
cosmographie|1
cosmographique|1
cosmologie|1
cosmonaute|1
cosmopolite|1
cosmopolites|1
cosmos|1
cosmétique|1
cosmétiquer|1
cossard|1
cosse|1
cossu|1
cossus|1
costaud|1
costière|1
costume|1
costumer|1
costumé|1
cosy|1
cote|1
coteau|1
coteaux|1
coter|1
coterie|1
cothurne|1
cotignac|1
cotillon|1
cotisation|1
cotiser|1
coton-poudre|1
coton-tige|1
cotonneux|1
cotonéaster|1
cotonéasters|1
cotret|1
cottage|1
cotte|1
cotte de maille|1
cotylédon|1
cou|1
couac|1
couard|1
couardise|1
couchage|1
couchant|1
couche|1
couche-tard|1
coucher|1
couches|1
couchette|1
couchitique|1
couché|1
couci-couça|1
coucou|1
coucoumelle|1
coud|1
coude|1
coudoiement|1
coudoyer|1
coudraie|1
coudre|1
coudrette|1
coudrier|1
coudé|1
couenne|1
couennes|1
couette|1
couffin|1
couffins|1
couguar|1
couiner|1
coulage|1
coulant|1
coulante|1
coulemelle|1
couler|1
couleur|1
couleurs|1
couleuvre|1
couleuvrine|1
coulis|1
coulisse|1
coulisser|1
couloir|1
coulure|1
coulé|1
coulée|1
coulée de boue|1
country|1
coup|1
coup de fer|1
coup de filet|1
coup-de-poing|1
coupable|1
coupage|1
coupant|1
coupe|1
coupe-batterie|1
coupe-chou|1
coupe-circuit|1
coupe-coupe|1
coupe-faim|1
coupe-feu|1
coupe-file|1
coupe-jarret|1
coupe-racine|1
coupelle|1
couper|1
couperet|1
couperets|1
couperose|1
couperosé|1
coupeur|1
coupeuse|1
couplage|1
couple|1
coupler|1
couplet|1
coupole|1
coupon|1
coups|1
coupure|1
coupé|1
coupée|1
couque|1
cour|1
courage|1
courageuse|1
courageusement|1
courageux|1
courailler|1
couramment|1
courant|1
courant électrique|1
courante|1
courants|1
courbatu|1
courbature|1
courbaturer|1
courbaturé|1
courbe|1
courber|1
courbette|1
courbure|1
courbé|1
courbée|1
courcailler|1
courette|1
coureur|1
courge|1
courge potiron|1
courgette|1
courir|1
courlieu|1
courlis|1
courlis de terre|1
couronne|1
couronne impériale|1
couronnement|1
couronner|1
couronné|1
courriel|1
courrier|1
courriériste|1
courroie|1
courroucer|1
courroux|1
cours|1
course|1
courser|1
coursier|1
coursive|1
coursière|1
court|1
court-bouillon|1
court-circuit|1
court-circuiter|1
court-jus|1
courtage|1
courtaud|1
courte|1
courtement|1
courtepointe|1
courtier|1
courtilière|1
courtisan|1
courtisane|1
courtisanerie|1
courtisanesque|1
courtiser|1
courtière|1
courtois|1
courtoise|1
courtoisement|1
courtoisie|1
couru|1
courée|1
cousant|1
cousette|1
couseur|1
cousin|1
cousiner|1
coussin|1
coussin autogonflant|1
coussinet|1
cousu|1
couteau|1
couteaux|1
coutelas|1
coutume|1
coutumes|1
coutumier|1
coutumière|1
couture|1
couturier|1
couturière|1
couvaison|1
couvent|1
couver|1
couvercle|1
couvert|1
couverte|1
couverture|1
couveuse|1
couvoir|1
couvrant|1
couvre-chef|1
couvre-lit|1
couvre-pied|1
couvre-plat|1
couvreur|1
couvrir|1
couvée|1
covenant|1
cover-girl|1
cow-boy|1
coxal|1
coxalgie|1
coxaux|1
coyote|1
coéquipier|1
coéquipière|1
coïncidant|1
coïncidence|1
coïncident|1
coïncider|1
coït|1
coût|1
coûter|1
coûteuse|1
coûteusement|1
coûteux|1
crabe|1
crabe des Moluques|1
crabes|1
crachat|1
crachement|1
cracher|1
crachin|1
crachiner|1
crachotement|1
crachoter|1
crachouiller|1
craché|1
crack|1
cracking|1
craindre|1
crainte|1
craintif|1
craintive|1
craintivement|1
crambe|1
cramer|1
cramoisi|1
crampe|1
crampon|1
cramponner|1
cramponné|1
cramé|1
cran|1
craniologie|1
cranter|1
crapahuter|1
crapaud|1
crapaud peint|1
crapaud volant|1
